YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
2019,6278,295,"Kathmandu, Nepal",Jagadamba Prakashan,TEXT MATERIAL,Sankshipta Nepali Hindi Kosh,Krishna Prasad Dhungana
1998,4087,528,Boston,McGraw-Hill,TEXT MATERIAL,Doing Social Research,Therese L. Baker
2006,8657,,India,Medical Allied Agency,TEXT MATERIAL,Human Physiology vol.2,Dr. C.C. Chatterjee
2078,13740,241,Chitwan,"Sahity Sangam,Chitwan",TEXT MATERIAL,Suklagandaki Mahakabya,"Paudel,Poshriaj"
1998,1273,852,London,English Language Book Society,TEXT MATERIAL,Organic Chemistry Vol.2:,"Finar,I.L."
1993,5524,810,New Delhi,S. Chand & Company,TEXT MATERIAL,Referesher Course in B.Sc Organic chemistry,B.S. Bahl
2063,7170,86,"Kathmandu, Nepal",Reki Yog Prakashan,TEXT MATERIAL,Banchne Kala,Dr. Yogi Bikashananda
0,2842,548,New York,John Wiley & Sons,TEXT MATERIAL,Introduction  to Real Analysis,Robert G. Bartle | Donald R. Sherbert
2005,5291,198,South Sikkim,Nirman Prakahan,TEXT MATERIAL,Bishaya Parikrama,Ram Lal Adhikari
1966,3998,718,Moscow,Progress Publishers,TEXT MATERIAL,The Russian Forest:,Leonid Leonov
2018,10174,367,"Kathmandu, Nepal",KEC Publication and Distribution,TEXT MATERIAL,Organizational Behaviour : Text and Cases,Dhruba Kumar Gautam | Prakash Kumar Gautam
2057,10078,244,"Kathmandu, Nepal",Krishna Kumar shrestha,TEXT MATERIAL,Nibandhakar devkotaka darshanik chintan (à¤¨à¤¿à¤¬à¤¨à¥à¤§à¤•à¤¾à¤° à¤¦à¥‡à¤µà¤•à¥‹à¤Ÿà¤¾à¤•à¤¾ à¤¦à¤¾à¤°à¥à¤¶à¤¨à¤¿à¤• à¤šà¤¿à¤¨à¥à¤¤à¤¨ ),Durga Prasad Aryal
2079,13934,320,"Kathmandu, Nepal",KEC Publications,TEXT MATERIAL,Cyber Law and Professional Ethics,"Sharma, Sunil; Saroj Pandey"
1993,1649,275,New Delhi,Vikas Publishing House,TEXT MATERIAL,Professional Journalism,M.V. Kamath
2003,256,1071-1951,New York,W.W. Norton & Company,TEXT MATERIAL,The Norton Anthology of American Literature,Nina Baym
2014,9037,456,New Delhi,Pearson,TEXT MATERIAL,A First course in Abstract algebra,John B. Fraleigh
1993,544,361,New York,Penguin Books,TEXT MATERIAL,The Stone Diaries,Carol Shields
2001,509,180,New York,Houghton Mifflin Company,TEXT MATERIAL,The Bostons,Carolyn Cooke
2073,9889,518,"Kathmandu, Nepal",Asmita Books Publishers & Distributors,TEXT MATERIAL,Fundamentals of Investments for BBS 4th Yr,Rajan Bahadur Poudel | Keshar Jung Baral | Keshar Jung Baral | Padma raj Joshi | Surya Bahadur Rana
2011,7561,428,New York,Wiley India,TEXT MATERIAL,Sampling Techniques,William G. Cochran
1983,2705,341,Singapore,McGraw-Hill International Book Company,TEXT MATERIAL,Theory and Problems of College Physics,Frederick J. Bueche
1993,5523,1013,India,CBS publishers,TEXT MATERIAL,Principles of Biochemistry,Albert L. Lehninger | David L. Nelson | Michael M. Cox
0,388,275,"Bihar, India",Shree Mandir Publishing House,TEXT MATERIAL,The Theory of Criticism:,R.K. Tilak
1999,5839,156,"Kathmandu, Nepal",CENAS,TEXT MATERIAL,The Chepangs,Ganesh M. Gurung
2065,5214,188,Kathmandu,Pathya Samagri Pasal,TEXT MATERIAL,Samiksha Ra Saundarya,Mohan Baidhya 'Chaitanya'
2071,9562,92,"Bharatpur, Chitwan","Department of Sociology, Birendra Multiple Campus,T.U.",TEXT MATERIAL,Nepali Gramin samajma ekal mahilaharuko samajik abastha : ( chitwan jilla meghauli VDC ward no.9 ko ekal mahilaharuko samajsastriya ek adhyayan),Rita K.C.
2031,2497,226,"Kathmandu, Nepal",Kanun kitab bybastha samiti,TEXT MATERIAL,Nepal ain sangraha,His Majesty Nepal
2044,6287,272,"Kathmandu, Nepal",Nepali Rajkiya Pragya Pratishthan,TEXT MATERIAL,Nepali Bangmaya: Kehi Khoji Kehi Byakhya,Sharad Chandra Sharma Bhattarai
1996,5517,412,India,Chaitanya Publication,TEXT MATERIAL,Climatology ,D.S. Lal
0,9912,,"Kathmandu, Nepal",Shaja Prakashan,TEXT MATERIAL,Muna Madan Kabya,Laxmi Prasad Devkota
1983,5815,236,New Delhi,Vikas Publishing House,TEXT MATERIAL,The English Language,C.L. Wrenn
2004,451,182,New Delhi,Rama Brothers,TEXT MATERIAL,Mulk Raj Anand:Coolie,Dr. Raghukul Tilak
2008,7839,153,New Delhi,Prentice Hall of India Pvt. Ltd.,TEXT MATERIAL,Elements of Geology,S.M. Mathur
2075,10444,81,"Bharatpur, Chitwan",Bishnu Devi Baniya,TEXT MATERIAL,Anaamika laghu katha sangrah,Karna Bahadur Baniya 'Kanchha'
1990,7028,358,New Delhi,Anmol Publications,TEXT MATERIAL,Encyclopaedic Dictionary of Chemistry Vo.II,Satish Anand | Raj Kumar
2009,6396,528,New Delhi,Pearson,TEXT MATERIAL,Microbiology :A Laboratory Manual,Cappuccino | Sherman
2002,8079,926,New Delhi,"CBS Publishers and distributors,",TEXT MATERIAL,Field Geology,F.H. Lahee
2015,10142,512,New Delhi,McGraw Hill,TEXT MATERIAL,Principles of Management,Charles W.L. Hill | Steven L. McShane
2009,5165,18,Bharatpur,"Department of Management, BMC",TEXT MATERIAL,Financial Statement Analysis of Shubha-Laxmi Milk Productive Multipurpose Co-operative,Krishna Bahadur Paudel
2036,9360,92,Jaleswor Nepal,"Janakapur, anchal shiksha samiti",TEXT MATERIAL,Aadhunik Rajnaitik Bibechana,Tara Kanta Jha
