YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
1987,5717,350,Philandelphia,Chelsea House Publishers,TEXT MATERIAL,The Bible,Harold Bloom
2003,7618,291,"Kathmandu, Nepal",Bhudipuran Prakashan,TEXT MATERIAL,Nonparametric Statistics:,Juju G. Ranjit
2011,6331,342,London,Harper collins,TEXT MATERIAL,The Zahir,Paulo Coelho
1998,1693,542,New Delhi,Narosa Publishing House,TEXT MATERIAL,Foundations of Electromagnetic Theory,John R. Reitz | Frederick J. Milford  | Robert W. Christy
2067,5527,1010,"Kathmandu, Nepal",Akhil Nepal Lekhak Sangh,TEXT MATERIAL,Marksbadi sahitya ra janauddako saundarya,Akhil Nepal Lekhak Sangh
2013,8672,885,New Delhi,Macmillan Education,TEXT MATERIAL,Basic Econometrics,Damodar N. Gujarati | Dawn C. Porter | Sangeetha Gunasekar
2003,564,337,New York,Scribner,TEXT MATERIAL,The Shipping News,Annie Proulx
1993,967,333,India,Surya Publications,TEXT MATERIAL,Physics Digest,Surya Publications
2009,4383,95,"Dhobichaur, Kathmandu","Public Youth Campus, Department of Management (MBS) ,T.U.",TEXT MATERIAL,Loan management of joint venture banks,Anuja jagrit
2019,12527,46,"Bharatpur,Chitwan","Department Of Sociology,Birendra Multiple Campus",TEXT MATERIAL,Occupational Relation To Breast Feeding Practice Of Women,"Mahatto,Narayan"
1977,1952,231,London,Routledge & Kegan Paul,TEXT MATERIAL,A Dictionary of the Social Sciences,Hugo F. Reading
2069,7486,148,"Kathmandu, Nepal",Swadesh Prakashan Pvt. Ltd.,TEXT MATERIAL,Bangmayaka Kura (Samalochana),Chhaya Datta Neupane 'Bagar'
2014,12246,66,"Bharatpur, Chitwan","Department Of Physics, Birendar Multipel Campus",TEXT MATERIAL,Study Of The Neutron Yield From PF-400J Plasma Focus  Using Lee Model Code,"Regmi, Surya Prasad"
1977,3498,268,Allahabad,Kitab Mahal,TEXT MATERIAL,Principles of Banking,K.N. Garg
2000,899,195,London,Everyman's Library,TEXT MATERIAL,Symposium & Phaedrus,Plato
2062,36,362,"Bhotahity, Kathmandu",Nabin Prakashan,TEXT MATERIAL,Practical Auditing,Kul Narshing Shrestha
2001,2910,127,"Bagbazar, Kathmandu",Ashish Pustak Bhandar,TEXT MATERIAL,T.U. Solution Biology for I.Sc. 1st Year,Pradip Adhikary
0,4575,366,"Gandhi Road, India",The Bible Society of India,TEXT MATERIAL,The massage of Love,The Bible Society of India
2021,11163,497p,New Delhi,S Chand and Company  Limited,TEXT MATERIAL,A Manual of Practical Zoology Invertebrates,"Verma, p.s"
2006,448,239,New York,Routledge Classics,TEXT MATERIAL,Archaeology of Knowledge,Michel Foucault
0,5779,623,Kathmandu Nepal,"Curriculum Development Centre, TU",TEXT MATERIAL,Mudra Tatha Banking Ko Siddhanta,R.P. Chaudhary
2077,10876,207,Kathmandu,KEC Publication  Distributors,TEXT MATERIAL,Software Engineering for BCA/CSIT,"Ramesh Singh Saud, Manoj Giri"
1982,3000,302,"Taku, Kathmandu","Curriculum Development Centre, Tribhuvan University",TEXT MATERIAL,Jeev Bigyan:,Rukmini Devi Bajracharya
2062-064,12491,,"Bharatpur,Chitwan","Department Of English,Birendra Multipel Campus",TEXT MATERIAL,Note Of Triumph In Tennyson's In  Memoriam,"Acharya,Tilak"
2076,13917,275,Kathmandu,Shubhakamana Prakashan,TEXT MATERIAL,Bhasha vigyan ra Nepali Bhasha,"Pant,Dharmanand"
2009,2127,315-628,New Delhi,Dominant Publishers & Distributors,TEXT MATERIAL,A Critical Study of Charles Dickens:,Donald V. Bodeen
1999,4435,186,New Delhi,Narosa Publishing House,TEXT MATERIAL,Experiments in Plant Physiology:,D. Bajracharya
2009,5749,372,Sunrise Publication,"Bagbazar, Kathmandu",TEXT MATERIAL,Micro Economics,Gyan Mani Adhikari
2064,5422,296,"Pradshani Marg, Kathmandu",Pradhan Book House,TEXT MATERIAL,A Textbook on Human Resource Management,Sherjung Khadka
2073,9929,348,"Minbhawan, Kathmandu",Samjhana Prakashan,TEXT MATERIAL,Fundamentals of Advertising ( Adharbut Bigyapan) for BBS 4th Yr,Prakash Shrestha
2078,11007,368,Kathmandu,KEC Publication And Distribution Pvt.Ltd,TEXT MATERIAL,Cloud Computing,"Pandey, Saroj Sharama, Sunil"
2007,2193,176,London & New York,Routledge,TEXT MATERIAL,Gayatri Chakravorty Spivak,Stephen Morton
2066,6014,126,"Bharatpur, Chitwan","Master of arts in Nepali, Department,Birendra Multiple Campus",TEXT MATERIAL,"Kabi Govinda Bahadur Kunbarko Jeebani , Byaktitwo ra Krititwoko Addhyan",Janak Joshi
1954,2640,220,Ahmedabad,Navajivan Publishing House,TEXT MATERIAL,Our Next-Shore Neighbours,Kaka Kalelkar
2076,11119,308,Ktm,MK Publisher and distributors,TEXT MATERIAL,"Nepali Bhasha pathayakram ,pathya pustak thatha sikshanpaddati","Dhungel,Bhoj Raj Dahal, Durgaprasad"
2062,4629,253,"Kirtipur, Kathmandu",New hira books Enterprises,TEXT MATERIAL,An Introduction of Sociology & Anthropology,Keshav Raj Sapkota
2072,10376,184,"Kathmandu , Nepal",Sukunda Pustak Bahawan,TEXT MATERIAL,Applied Mathematics for B.Sc. Physics 3rd Year,"Adhikari, P.B. | B.R. Giri | Prakash Bahadur Amatya"
1998,169,163,"Boston, New York",Houghton Mifflin Company,TEXT MATERIAL,The Coast of Good Intentions,Michael Byers
2057,2254,106,"Bharatpur, Chitwan","Master of arts in Nepali, Department,Birendra Mult",TEXT MATERIAL,नेपाली र दराई भाषाको तुलानात्मक शब्द संग्रह (  Nepali ra Darai vashako tulanatmak shabda sangraha),Mahesh Prasad Neupane
2039,7702,203,Kamaladi Kathmandu,Nepal Rajkiya Pragya Pratisthan,TEXT MATERIAL,Nepali Sahityako Itihas,Balchandra Sharma
2013,7694,,Photpcopy,Photocopy,TEXT MATERIAL,State of the world Population 2005,Photocopy
2056,2251,173,"Bharatpur, Chitwan","Master of arts in Nepali, Department,Birendra Mult",TEXT MATERIAL,"उपेन्द्र श्रेष्ठको जीवनी, ब्यक्तित्व र कृतित्व  (Upendra shresthako Jeebani, byaktitwo ra krititwo)",Subarna Bhari
2011,5981,682,New Delhi,Tata McGraw-Hill Publishing Company,TEXT MATERIAL,Digital Principles & Applications,Donald P. Leach | Albert Paul Malvino | Goutam Saha
2078,11156,380 p,Kathmandu,Asmita Book Publisher and distribution,TEXT MATERIAL,Organization Behaviour and Human Management (BBS SECOND YEAR),"Acharya, Bhawani Shanker"
1990,2353,150,"T.U., Kathmandu",Central Department of Economics,TEXT MATERIAL,Factors affecting jute production in Nepal,Sanjaya Koirala
1986,2488,562+703,Lakhnow,Rainway Crossing,TEXT MATERIAL,History of Western Political Thought,Bindhyalaya Joshi | Suresh Chandra Panta
2066,8202,102,"Bharatpur, Chitwan",Saptahik Chitwan,TEXT MATERIAL,Anupama Dharti,Govinda Raj Binodi
2044,3294,211,"Kathmandu, Nepal",Ratna Pustak Bhandar,TEXT MATERIAL,Bishow Itihaska Kehi Panaharu,Rajesh Gautam
1988,242,236,London,A Division of the Collins Publishing Group,TEXT MATERIAL,A Farewell to Arms,Ernest Hemingway
2055,10420,169,"Kathmandu, Nepal",Munni Bhandari,TEXT MATERIAL,Pragatibadi Nepali Kabita: Rekhankan Ra Bishleshan,Jagadish Chandra Bhandari
2009,8274,562,New Delhi,PHI learning,TEXT MATERIAL,Theory and methods of survey sampling,Parimal Mikhopadhyay
2002,568,294,New York,Warner Books,TEXT MATERIAL,Saving Room For Dessert,K.C. Constantine
2012,7345,716,New York,Oxford University press,TEXT MATERIAL,Sociology,M. Haralambos
2039,5016,156,"Kathmandu,Nepal",Sajha Prakashan,TEXT MATERIAL,Nepali Samchhipta Ramayan,Chakrapani Chalise
2011,7135,747+A14+G28+Ans15+I23,Singapore,John Wiley & Sons,TEXT MATERIAL,Microbiology: International Student Version,Jacquelyn G. Black | Laura J. Black
0,9405,578,,,TEXT MATERIAL,Engineering Geology ( Photocopy ),F. G. Bell
2010,6407,746,New Delhi,Universities Press,TEXT MATERIAL,Textbook of Microbiology,R. Ananthanarayan | C.K. Jayaram Paniker
1985,634,759,London,Collins,TEXT MATERIAL,The New Collins Thesaurus,William T. McLeod
2053,5672,201,"Kathmandu, Nepal",Viddharthi Pustak Bhandar,TEXT MATERIAL,Bhasha Shikshyan:,Hemanga Raj Adhikari
1997,3040,481,New Delhi,Sultan Chand & Sons,TEXT MATERIAL,Linear Programming & Theory of Games,P.K. Gupta | Man Mohan
2011,9429,744,New York,Cambridge University Press,TEXT MATERIAL,Principles & Techniques of Biochemistry & Molecular Biology,Keith Wilson | John Walker
1984,5666,615,Bombay,Himalaya Publishing House,TEXT MATERIAL,Instrumental Methods of Chemical Analysis:,Gurdeep Chatwal | Sham Anand
2048,7040,207,Methuen & Co. Ltd.,London,TEXT MATERIAL,Economic Geography,B.W. Hodder | Roger Lee
1983,3185,310,"T.U., Kathmandu",Curriculum Development Centre,TEXT MATERIAL,Basic Mathematics,D.R. Bajracharya | R.M. Shrestha
1963,3799,414,London,G.Bell and Sons ltd,TEXT MATERIAL,Further Mathematics,R.I.Porter
2067,8722,87,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,Tilakraj Sharma Poudelka Niband Sangrhama Hasybangyakaritako Adyayan,Prakash Chandra Aryal
2005,4397,783,New York,Cambridge University Press,TEXT MATERIAL,Principles & Techniques of Biochemistry & Molecular Biology,Keith Wilson | John Walker
1992,811,396,London,Everyman's Library,TEXT MATERIAL,Lord Jim:,Joseph Conrad
2002,1325,162,New York,Mc Graw Hill,TEXT MATERIAL,Digital Zoology,jon Houseman
2012,8827,248,"Kathmandu, Nepal",Dreamland Publication,TEXT MATERIAL,Fundamentals of Algebra For BA/BSc 2nd Year,Raja Ram Acharya
2078,11084,408,Ktm,Bidharthi pustak bhandar,TEXT MATERIAL,Nepali natak ekanki ra Nibandha,"Bhandari,Paris money Lamichane, yadav prakash Ghim"
1993,2863,455,New Delhi,New agse International publishing,TEXT MATERIAL,Spectroscopy of Organic Compounds,P.S. Kalsi
2004,626,223,New York,Routledge Taylor & Francis Group,TEXT MATERIAL,Poetry:,Jeffrey Wainwright
1957,552,364,Peking,Foreign Language Press,TEXT MATERIAL,Selected Works Vol.2,Lu Hsun
2019,13520,40,"Bharatpur,Chitwan","Department Of English,Birendra Multiple Campus",TEXT MATERIAL,"Traditional Culture Vs Contemprory Values In V.S. Naipaul's Novel, A House For Mr.Biswas","Poudel,Neetu"
1995,2969,538,New Delhi,New Age International Publishers Ltd.,TEXT MATERIAL,A Textbook of Vertebrate Zoology,S.N. Prasad | Vasantika Kashyap
1985,1300,260,Tara Bhawan Patna,Novelty & Company,TEXT MATERIAL,Oragnic Reactions & Conversions,M.L. Mehta | R.C. Jha
2069,8065,181,"Chitwan, Nepal",Kamala Ghimire,TEXT MATERIAL,Nepali Bhasha Shikshan,Daya Nidhi Ghimire
2061,7195,20,Bharatpur,"Department of Management, BMC",TEXT MATERIAL,Inventory Management of Venus boarding school,Paritosh Chaudhary
2018,12335,53,"Bharatpur,Chitwan","Department Of Sociology,Birendra  Multipel Campus",TEXT MATERIAL,Gender Inquality On Property Right,"Khanal,Krishna"
2009,5916,,"Kathmandu, Nepal",Department of Sociology,TEXT MATERIAL,"Culture, Society & Health (Optional For Both Sociology & Anthropology) Vol. 1",Compendium
2004,5970,405,Varanasi,Chaukhambha Sanskrit Bhawan,TEXT MATERIAL,Avigyanshakuntalam,Dr. Gangasagararaya
2016,10125,536,New delhi,Prentice-Hall In India,TEXT MATERIAL,Diseases of Crop Plants in India,G. Rangaswami | A. Mahadevan
1990,1751,114,New Delhi,Universal Book Stall,TEXT MATERIAL,Criticis on Yeats:,Raymond Cowell
2009,4767,649+i19,New Delhi,Wiley India,TEXT MATERIAL,Principles of Genetics,Eldon John Gardner | Michael J. Simmons | D. Peter Snustad
2011,9176,120,"Chitwan, Nepal","Department of Management, Birendra Multiple Campus",TEXT MATERIAL,Television Adversiting & Its Impact on Consumer Behaviour In Chitwan,Pramod Raj Bhatta
2017,10002,75,"Birendra multiple campus, T. U .",Deparment of physics,TEXT MATERIAL,Structural and Electronic Properties of Topological Insulator Bi2Se3,Bishnu Prasad Pokharel
2065,6968,419,"Putalisadak , Kathmandu",Pairavi Prakashan,TEXT MATERIAL,Major political system: Parliamentary and non - Parliamentary,Dr. Buddhi Prasad Bhandari
2064,7253,263,Kathmandu,Oriental Publication,TEXT MATERIAL,Anabritt,Prabha Kaini
2042,4785,122,"Kathmandu, Nepal","Shree Pach ko Sarkar, Suchana Bibhag",TEXT MATERIAL,G. Shahka Geetko Paryawlokan,Bhim Kharel
1986,9459,660,New Delhi,CBS Publishers and Distributors,TEXT MATERIAL,Optical Mineralogy : ,Wm. Revell Phillips | Dana T. Griffen
2008,10297,317,London,The university of Chicago Press,TEXT MATERIAL,The Craft of Research,Wayne C. Booth | Gregory G. Colomb | Joseph M. Williams
2012,7133,618,New Delhi,New age international publishers,TEXT MATERIAL, Organometalic Chemistry,R.C. Mehrotra | A. Singh
1996,919,425,New Delhi,Tata McGraw-Hill Publishing Company,TEXT MATERIAL,Introduction To Classical Mechanics,R.G. Takwale | P.S. Puranik
1961,9251,377++,New York,Cambridge Book Company,TEXT MATERIAL,Topics in American History : A Basic Review,Milton Jay Belasea
2001,6418,376,New Delhi,Surya Publications,TEXT MATERIAL,Surya's Advanced Biology for class xi of +2 stage,C.M. Sharma | R. Khadka
1994,1793,270,Singapore,World Scientific,TEXT MATERIAL,"A World at the crossroads; New conflicts, New solutions",Joseph Rotblat | Sven Hellman
1993,1237,1151,New Delhi,S. Chand & Company,TEXT MATERIAL,Chordate Zoology & Animal Physiology,E.L. Jordan | P.S. Verma
2000,6245,520,New Delhi,Prentice-Hall of India Private Limited,TEXT MATERIAL,Advanced Calculus,David V. Widder
2016,10082,722+197,"Kathmandu, Nepal",Permissible research of Socio- Economic Development,TEXT MATERIAL,National Policies of Nepal Government ( à¤¨à¥‡à¤ªà¤¾à¤² à¤¸à¤°à¤•à¤¾à¤°à¤•à¤¾ à¤°à¤¾à¤·à¥à¤Ÿà¥à¤°à¤¿à¤¯ à¤¨à¥€à¤¤à¤¿à¤¹à¤°à¥  ),Jaya Prasad Poudel
2004,191,282,New Delhi,UBS Publishers & Distributors,TEXT MATERIAL,The Adventures of Huckleberry Finn,Mark Twain
2007,8867,69,"Birendra Multiple Campus, Bharatpur, Chitwan",Department of  Econoimics,TEXT MATERIAL,Energy Consumption pattern at household sector in hilly area,Purna Chandra Subedi
1995,3106,28.21+I-6,New Delhi,Vikas Publishing House,TEXT MATERIAL,Principles of Real Analysis,S.L .GUPTA | NISHA RANI
2008,8586,115,"Kritpur, Kathmandu, Nepal",Central Dept. of Management,TEXT MATERIAL,"Nepalese organization and international accounting standard, implementation and adoption process",Pabitra Raj Koiral
2064,4558,72,"Waling-7, Syangja",Harelo Prakashan,TEXT MATERIAL,Budheso,Devi Prasad Banbasi
2014,9879,179,"Biratnagar, Nepal",Research Council of Science and Technology,TEXT MATERIAL,"STM Bibechana : A Multidisciplinary Journal of Science , Technology and Mathematics",Dr. Devendra Adhikari
2055,4140,416,Vanarasi,Anurag Prakashan,TEXT MATERIAL,Tourism and Development ( Paryatan ra Vikash),Khem Raj Pokhrel | Govinda Man Singh karki
2014,8816,342,"Kathmandu, Nepal",KEC Publication & Distribution,TEXT MATERIAL,Probability & Statistics For B.Sc. CSIT,Vikash Raj Satyal | Bijay Lal Pradhan | Nabaraj Poudyal | Prakash Bahadur Amatya
1979,2477,392,New Delhi,Sterling Publishers,TEXT MATERIAL,Comparative Study of Six Living Constitutions,B.B. Gupta
2012,7682,520,New Delhi,Wolters Kluwer and Lippincott William and wilkins,TEXT MATERIAL,Lippincott's illustrated Reviews Biochemistry,Richard Harvey | Denise Ferrier
2005,661,420,"Kathmandu, Nepal",Buddha Academic Publishers & Distributors,TEXT MATERIAL,Human Resource Management,Dev Raj Adhikari
2011,7616,11.50+i5,New Delhi,Tata McGraw-Hill Publishing Company,TEXT MATERIAL,Schaum's outlines Probability & Statistics,Murray R. Spiegel | John Schiller | R. Alu Srinivasan
2016,10003,35,"Bharatpur, Chitwan","Department of English, Birendra Multiple Campus, T.U",TEXT MATERIAL,Existential Quest in  Paulo Coelho's Aleph,Manu Bhattarai
0,3322,181,2052,Nepal,TEXT MATERIAL,Hamro Sanskriti hamro dhukuti,Dhruba Krishna Deep
2000,394,242,Kathmandu,Educational Enterprise,TEXT MATERIAL,Critical & Creative Thinking,Shreedhar Lohani | Abhi Subedi | Arun Gupta | Rameshwar Adhikari
2003,652,178,India,Orient Londgman Private Limited,TEXT MATERIAL,Freud For Beginners,Richard Osborne
2066,5420,676,"Bhotahity, Kathmandu",Taleju Prakashan,TEXT MATERIAL, Accounting for Financial analysis & Planning ( Bittia bishleshan tatha yojana lekhabidi),Ratman Dangol | Keshave Prasad Prajapati
2062,8911,123,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,Parijatka Aakhyanma Naripatrako Bhumika`,Lata Gawali
2065,9263,188,"Kathmandu, Nepal",Sunita Bhattrai,TEXT MATERIAL,Jasusiko Jalo,Saroj Raj Adhikari
2070,8830,376,"Kathmandu, Nepal",Pradhan book house,TEXT MATERIAL,Rural Sociology & Development For BA 3rd Year,Dr. Chakrapani Luitel | Bed Prasad Sapkota | Mohan Prasad Ghimire
2013,8145,612,New Delhi,Pearson,TEXT MATERIAL,Digital Logic and Computer Design,M. Morris Mano
2009,4360,114,"Kirtipur, Kathmandu","Central Department of Management, MBS, TU",TEXT MATERIAL,A study on income tax collection from commercial banks,Hira lal Panday
2049,3766,206,"Bhotahity, Kathmandu",M.K.Publisshers & Distributors,TEXT MATERIAL,Commercial Arithmetic,D.R. Bajracharya | B.C. Bajracharya
2008,9376,152,"Ram Nagar, New Delhi",S. Chand and Company,TEXT MATERIAL,Elements of Quantum Mechanics,Kamal Singh | S.P. Singh
2002,259,273,New York,Perennial An Imprint of Harper Collins Publishers,TEXT MATERIAL,On The Occasion of My Last Afternoon:,Kaye Gibbons
1994,204,543,New York,W.W. Norton & Company,TEXT MATERIAL,The Ambassadors:,Henry James
2011,9442,1070+I-44,New York,McGraw-Hill,TEXT MATERIAL,Prescott's Microbiology,Joanne M.Willey | Linda M Sherood | Christopher J. Woolverton
2067,5649,,Photpcopy,Photocopy,TEXT MATERIAL,"Migration, Urbanization & Dev: Paper - v",Photocopy
2014,12417,58,"Bharatpur,Chitwan","Department of Sociology,Birendra Multipel Campus",TEXT MATERIAL,Livelihood Strategy Of Chepang Community,"Bhandari,Netra Prasad"
1961,6448,660,New Delhi,S.Chanda & Company,TEXT MATERIAL,History Of Economic Thought,S.K. Srivastava
1997,327,256,New York,Longman,TEXT MATERIAL,An Outline Of American Literature,Peter B. High
2003,1100,404,India,Wiley Dreamtech,TEXT MATERIAL,Biology:,Phillip E. Pack
1975,2404,849,Bombay,"Vakils, Feffer and private",TEXT MATERIAL,International Law,Charles G. Fenwick
1999,1342,658,New Delhi,Prentice-Hall,TEXT MATERIAL,Mathematical Statistics,John E. Freund
2067,5480,479,"Kathmandu, Nepal",Oxford International Publication,TEXT MATERIAL,Anibarya Nepali :,G.K. Pokhrel | Ambar Raj Dhakal
2005,7629,393,London,Wordsworth Calssics,TEXT MATERIAL,Emma,Jane Austen
2074,10059,,Kirtpur,Rabin,TEXT MATERIAL,Compendium: An.536. Anthropology of Nepal and the Himalaya required vol.4,Compendium
1974,2471,365,New Delhi,K. Nath and Co.,TEXT MATERIAL,Modern Political Thought Vol.3,Jyoti Prasad Suda
2066,5235,78,"Chitwan, Nepal",Sahitya Sangam,TEXT MATERIAL,Aasthaka Swarharu,Dhaneshwar Bhattarai
2005,1746,188,New delhi,A.I.T.B.S.,TEXT MATERIAL,Tragedy,F.L.Lucas
2070,8203,255,Chitwan Nepal,Chitwan Sahitya parishad,TEXT MATERIAL,Mritu parajit Chha,Chirinjibi Nepali
1995,2360,73,"Bharatpur, Chitwan","M.A . Economics, Birendra Multiple Campus",TEXT MATERIAL,Turism in Nepal ,Mukunda Mani Khanal
2036,4592,190,"Kathmandu, Nepal",Chandra Kanta Malla,TEXT MATERIAL,Mero Aatma Katha,Chandra Kanta Malla
2067,6585,74,"Kathmandu, Nepal","Trichandra Multiple Campus, Department of Sociology",TEXT MATERIAL,Sunsari Jilla Singiya Gaun Bikas Samiti Word No. 9 ks Tharuharuko Samajik Aarthik Awastha Ra Parivartan: Ek Samajshastriya Adhyayan,Binod Prasad Upadhyaya
2075,13621,50,"Bharatpur,Chitwan","Department Of Sociology,Birendra Multiple Campus",TEXT MATERIAL,Tharu Mahilahru ko Samajik r SAnskritik Abastha ko Aadhyan,"Acharya,Vimkala"
0,4132,542,New Delhi,Tata McGraw-Hill Publishing Company,TEXT MATERIAL,Concepts of Modern Physics,Arthur Beiser | shobhit Mahajan | S Rai Choudhury
1989,1007,640+242,New Delhi,Himalaya Publishing House,TEXT MATERIAL,Electricity & Electronics,D.C. Tayal
2066,4177,241,"Bhotahity, Kathmandu, Nepal",Taleju Prakashan,TEXT MATERIAL,Economic Policy Analysis (Arthik Niti Bishleshan),Shyam Joshi
2069,8613,66,Chitwan,Jeevan Pandit,TEXT MATERIAL,Chintanko Chautari,Krishna Prasad Pandit
2066,6045,413,"Kathmandu, Nepal",K.P. Pustak Bhandar,TEXT MATERIAL,Macro-Economic Analysis (Brihad arthasastra ),Khagendra Subedi
2065,4172,380,"Kathmandu, Nepal",Bangmaya Prakashan Tatha Anusandhan Kendara,TEXT MATERIAL,Anibarya nepali,Jagat Upadhyaya | Madhu Sudhan giri | Ram Nath Oja
2002,2217,59,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,Fertility Behaviour of tharu and non tharu committies:,Arjun Prasad poudel
1982,2902,228,New Delhi,S. Chand & Company,TEXT MATERIAL,Principles of Ecology:,P.S. Verma | V.K. Agarwal
1996,9773,435,New York,Bantam Books,TEXT MATERIAL,The Farseer: Assassian's Apprentice,Robin HObb
2013,12212,86,"Bharatpur , Campus",Birendar Multipel Campus,TEXT MATERIAL,Co- Operative Development And Socio- Economic Status in Nepal,"Paudel,Ramesh"
2031,4614,273,"Kathmandu, Nepal",Dhan Rajyashwori Khan,TEXT MATERIAL,Beyond Horizon,Tulsi Ram Kuwar
1992,852,172,London,Everyman's Library,TEXT MATERIAL,On Liberty & Utilitarianism,John Stuart Mill
2007,2231,72,"Bharatpur, Chitwan","M.A . Economics, Birendra Multiple Campus",TEXT MATERIAL,A socio economic impact of Buffer zone programme,Bishnu prasad Kafle
2056,6916,182,"Kathmandu, Nepal",Atma ram Acharya,TEXT MATERIAL,Sagar Sandhya,Puspalata Acharya
2004,5704,264,Philandelphia,Chelsea House Publishers,TEXT MATERIAL,Elizabeth Bennet,Harold Bloom
2075,10431,384,"Bhotahity, Kathmandu",M.K. Publishers,TEXT MATERIAL,"Research Methods  in Sociology for B.A, 3rd Yr",Shiva Hari Aryal
1991,828,559,London,Everyman's Library,TEXT MATERIAL,Tom Sawyer & Huckleverry Finn,Mark Twain
2008,1923,45,Dharan,Mahendra Multiple Campus,TEXT MATERIAL,Double Marginalization of Black Women in Toni Morrison's Beloved,Dibya Jyoti Prasai
2015,9990,400,New Delhi,S.Schand and Company,TEXT MATERIAL,Animal Behaviour( Ethology) for Bsc,Dr. V.K. Agarwal
2053,1403,180,"Bhotahity, Kathmandu",Ratna Pustak Bhandar,TEXT MATERIAL,Undergraduate Vector Analysis,B.L. Vaidya
2011,9132,45,"Birendra Multiple Campus, Bharatpur, Chitwan",Department of English,TEXT MATERIAL,Victimization of Women in Toni Morrison's Paradise,Dipendra Chaudhari
1972,5450,114,New Delhi,Penguin Books,TEXT MATERIAL,The old man and the sea,Hemingway
2014,8557,63,"Bharatpur, Chitwan","Dept. of Management , Birendra Multiple Campus",TEXT MATERIAL,Cement Marketing in Chitwan,Krishna Prasad Sharma
2013,12178,74,"Bharatpur, chitwan",Birendra multipel campus,TEXT MATERIAL,"A study on quality assurance of linear accelerator at b.p koirala memorial cancer hospital , chitwan530.72250","Poudyal,tek nathh"
2062,5827,207,"Kathmandu, Nepal",Taleju Prakashan,TEXT MATERIAL,Research Methodology in Management,Dhruba Prasad Silwal
2002,368,48,New Delhi,Routledge Taylor & Francis Group,TEXT MATERIAL,Myth & Meaning,Levi-Strauss
1986,1178,577,New Delhi,CBS Publishers & Distributors,TEXT MATERIAL,Plant Physiology,Frank B. Salisbury | Cleon W. Ross
2060,7969,55,"Bagbazar, Kathmandu",Suvas Mishra,TEXT MATERIAL,Rajtantra ra Kala Badalharu,Amoghsiddi Mishra
2008,5013,490,New York,Churchill Livingstone,TEXT MATERIAL,Ross and Wilson Anatomy and Physiology,Anne Waugh | Allison Grant
2012,9542,660,New Delhi,PHI Learning,TEXT MATERIAL,Internetworking with TCP/IP volume 2,Douglas E. Comer | David L. Stevens
2012,7126,515,New Delhi,S. Chand & Company,TEXT MATERIAL,Modern Practical Botany Vol. 2,B.P. Pandey
1969,13925,588,New Delhi,Allied publishers Private Limited,TEXT MATERIAL,Q is For Quarry,"Grafton,Sue"
1975,1054,546,New Delhi,Arnold-Heinemann,TEXT MATERIAL,The Principles of Atomic & Nuclear Physics,C.J. Smith | A.R. Stokes
2061,4853,121,Chahabil Kathmandu,Saraswoti Joshi,TEXT MATERIAL,Laxmi Nibanda Sangraha ka Nibandharuma Devkotaka Kabyamanyata,Dr. Kumar bahadur Joshi
1976,10394,564,Delhi,Saraswati Sadan,TEXT MATERIAL,International Politics ,Hari Datta Bedalankar
2012,8545,94,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,"Working Capital Management of Naya Nepal Hatchery Private Limited,Bharatpur Chitwan",Suresh Thapa
2000,3968,400,New York,McGraw Hill,TEXT MATERIAL,"Electronic commerce: Security, Risk management and control",Marilyn Grenstein | Todd M.Feinman
0,9448,262,,,TEXT MATERIAL,Teaching Mathematics (Photocopy),Pamela Cowan
2054,5313,583,"Anamnagar, Nepal",Balkrishna Sama Foundation,TEXT MATERIAL,Auta Amar Pragya Balkrishna Sama,Narendra Raj Prasai | Indira Prasai
1973,3207,479,New York,Harcourt Brace,TEXT MATERIAL,Macroeconomic Theory and policy,Fred R. Glahe
1983,2745,230,New Delhi,S.Chand And Company,TEXT MATERIAL,Referesher course in B.Sc. Physics Optics,C.L.Arora
2074,10970,264,Nepal,Shree Kalanath Adhikari Smriti Pratisthan,TEXT MATERIAL,Kalanath Adhikari : Vyakti Ra Kriti,Hayagriv Acharya
1999,5530,7.9,India,Bharati Bhawan,TEXT MATERIAL,Mathematics MCQ,Asis Das Gupta
1970,2554,468,New Fetter Lane,Methuen & Co. Ltd,TEXT MATERIAL,Greek Political Theory,Ernest Barker
2062,8055,160,"Bharatpur, Chitwan","Department of Nepali, Birendra Multiple Campus",TEXT MATERIAL,Natakkar Gobi Sapkota Ra Unka Natyakritiharuko Adhyayan,Amar Nath Neupane
1977,3379,521,New Delhi,Prentice Hall of India,TEXT MATERIAL,"Agriculture, Economics & Resource Management",M.M. Snodgrass | L.T. Wallace
1985,5773,364,New Delhi,Kitab Mahal,TEXT MATERIAL,Twentieth Century American Poetry,Suresh Chandra Dwivedi
1977,3226,230,New Delhi,Manohar,TEXT MATERIAL,Perspectives on Power India and China,P V. Pillai
0,10589,162,"Kathmandu, Nepal","Nabin Prakashan, Bhotahiti Kathmandu",TEXT MATERIAL,Nepali wakay- Bayakaran,"Pokhrel,Madhav Prasad"
